,Signal,Method,Features,Components,AUC_Score,F1_Score,Average_Precision,Balanced_Accuracy
RandomForest_OriginalFeatures,OriginalFeatures,RandomForest,OriginalFeatures,None,0.5142857142857142,0.4444444444444445,0.36269841269841274,0.6285714285714286
SVM_OriginalFeatures,OriginalFeatures,SVM,OriginalFeatures,None,0.5714285714285714,0.5263157894736842,0.32534798534798537,0.6785714285714286
GradBoosting_OriginalFeatures,OriginalFeatures,GradientBoosting,OriginalFeatures,None,0.6714285714285715,0.5882352941176471,0.3966666666666666,0.75
AdaBoosting_OriginalFeatures,OriginalFeatures,AdaBoosting,OriginalFeatures,None,0.6142857142857143,0.5,0.5279761904761905,0.6642857142857144
RandomForest_1088,Whole,RandomForest,1088,None,0.5071428571428571,0.38461538461538464,0.30355406687522435,0.5535714285714286
SVM_1088_64,Whole,SVM,1088,64,0.5392857142857141,0.48275862068965514,0.2931804917776948,0.6357142857142857
SVM_1088_32,Whole,SVM,1088,32,0.5499999999999999,0.48275862068965514,0.30550649910370203,0.6357142857142857
SVM_1088_16,Whole,SVM,1088,16,0.5178571428571428,0.4615384615384615,0.2811124964202257,0.5928571428571429
GradBoosting_1088_64,Whole,GradientBoosting,1088,64,0.6678571428571428,0.6,0.3886830099330099,0.7535714285714286
GradBoosting_1088_32,Whole,GradientBoosting,1088,32,0.532142857142857,0.5,0.3117584067584067,0.6571428571428571
GradBoosting_1088_16,Whole,GradientBoosting,1088,16,0.55,0.45714285714285713,0.3220891046073601,0.5964285714285714
AdaBoosting_1088_64,Whole,AdaBoosting,1088,64,0.5285714285714286,0.5128205128205129,0.2782855610813868,0.6607142857142857
AdaBoosting_1088_32,Whole,AdaBoosting,1088,32,0.5071428571428571,0.45454545454545453,0.3081319057030632,0.625
AdaBoosting_1088_16,Whole,AdaBoosting,1088,16,0.5607142857142857,0.47619047619047616,0.3245654996196792,0.6428571428571428
RandomForest_128,Whole,RandomForest,128,None,0.6035714285714286,0.5454545454545454,0.4227377946127946,0.6928571428571428
SVM_128_64,Whole,SVM,128,64,0.5571428571428572,0.45454545454545453,0.3670660545342941,0.625
SVM_128_32,Whole,SVM,128,32,0.5714285714285715,0.47058823529411764,0.4072653725971804,0.6464285714285715
SVM_128_16,Whole,SVM,128,16,0.592857142857143,0.588235294117647,0.5851493976176372,0.7142857142857143
GradBoosting_128_64,Whole,GradientBoosting,128,64,0.5178571428571428,0.4210526315789474,0.31024318274318274,0.6107142857142858
GradBoosting_128_32,Whole,GradientBoosting,128,32,0.5321428571428571,0.48648648648648646,0.31436302655033305,0.6285714285714286
GradBoosting_128_16,Whole,GradientBoosting,128,16,0.7035714285714285,0.6153846153846154,0.43476856476856485,0.7571428571428571
AdaBoosting_128_64,Whole,AdaBoosting,128,64,0.6357142857142857,0.5714285714285715,0.4340358554488989,0.7321428571428572
AdaBoosting_128_32,Whole,AdaBoosting,128,32,0.6678571428571429,0.5555555555555556,0.3883916998333474,0.7142857142857143
AdaBoosting_128_16,Whole,AdaBoosting,128,16,0.6535714285714286,0.5294117647058825,0.3880555555555556,0.6821428571428572
RandomForest_272,Whole,RandomForest,272,None,0.5839285714285715,0.4615384615384615,0.32595630493576744,0.6214285714285714
SVM_272_64,Whole,SVM,272,64,0.5035714285714286,0.4000000000000001,0.32616031132654993,0.5928571428571429
SVM_272_32,Whole,SVM,272,32,0.5571428571428572,0.5,0.3301035002849519,0.6571428571428571
SVM_272_16,Whole,SVM,272,16,0.5357142857142857,0.47619047619047616,0.3744597472420053,0.6071428571428571
GradBoosting_272_64,Whole,GradientBoosting,272,64,0.6964285714285714,0.5263157894736842,0.559579365079365,0.6785714285714286
GradBoosting_272_32,Whole,GradientBoosting,272,32,0.7428571428571429,0.5806451612903225,0.5530018674136321,0.7357142857142858
GradBoosting_272_16,Whole,GradientBoosting,272,16,0.7678571428571428,0.6428571428571429,0.5258874458874458,0.7892857142857144
AdaBoosting_272_64,Whole,AdaBoosting,272,64,0.7142857142857143,0.5714285714285713,0.609723095005353,0.7107142857142856
AdaBoosting_272_32,Whole,AdaBoosting,272,32,0.6535714285714286,0.5263157894736842,0.3956476608187135,0.6785714285714286
AdaBoosting_272_16,Whole,AdaBoosting,272,16,0.7392857142857143,0.5714285714285714,0.5243935693935694,0.7214285714285715
RandomForest_544,Whole,RandomForest,544,None,0.6571428571428571,0.5263157894736842,0.5707602339181286,0.6785714285714286
SVM_544_64,Whole,SVM,544,64,0.5535714285714286,0.48275862068965514,0.3945595844449834,0.6357142857142857
SVM_544_32,Whole,SVM,544,32,0.55,0.4615384615384615,0.41096141103256856,0.6214285714285714
SVM_544_16,Whole,SVM,544,16,0.5428571428571428,0.33333333333333337,0.45557603902805144,0.6
GradBoosting_544_64,Whole,GradientBoosting,544,64,0.5785714285714285,0.5,0.39431687765948054,0.6535714285714285
GradBoosting_544_32,Whole,GradientBoosting,544,32,0.7321428571428571,0.6,0.47078000975059797,0.7535714285714286
GradBoosting_544_16,Whole,GradientBoosting,544,16,0.6642857142857144,0.5454545454545454,0.4297171287903553,0.7
AdaBoosting_544_64,Whole,AdaBoosting,544,64,0.5821428571428572,0.4444444444444445,0.39659293846413524,0.6035714285714285
AdaBoosting_544_32,Whole,AdaBoosting,544,32,0.6,0.45454545454545453,0.42297705295869525,0.625
AdaBoosting_544_16,Whole,AdaBoosting,544,16,0.625,0.48648648648648646,0.4645712776188158,0.6285714285714286
RandomForest_TUGs_128,TUGs,RandomForest,128,None,0.6923076923076923,0.6153846153846154,0.43333333333333335,0.7461538461538462
